id,name,description,category,subcategory,image
700,"MISTURA DE REQUEIJÃO SABOR CHEDDAR PURANATA 1,2 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-puranata-12-kg.png
701,"MISTURA DE REQUEIJÃO SABOR CHEDDAR CORONATA 1,5 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-coronata-15-kg.png
702,"MISTURA DE REQUEIJÃO SABOR CHEDDAR DALLORA 1,8 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-dallora-18-kg.png
703,"MISTURA DE REQUEIJÃO SABOR CHEDDAR TOP CHEDDAR 1,2 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-top-cheddar-12-kg.png
704,"MISTURA DE REQUEIJÃO SABOR CHEDDAR TOP CHEDDAR 1,2 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-top-cheddar-12-kg.png
705,"MOLHO CHEDDAR SCHREIBER 1,5 KG",,Laticínios,Cheddar,src_produtos/images/molho-cheddar-schreiber-15-kg.png
706,"CHEDDAR FATIADO PROCESSADO 160 FATIAS VIGOR 2,24 KG",,Laticínios,Cheddar,src_produtos/images/cheddar-fatiado-processado-160-fatias-vigor-224-kg.png
707,"REQUEIJÃO SABOR CHEDDAR TIROLEZ 1,5 KG",,Laticínios,Cheddar,src_produtos/images/requeijao-sabor-cheddar-tirolez-15-kg.png
708,"CHEDDAR FATIADO PROCESSADO 184 FATIAS SCHREIBER 2,27 KG",,Laticínios,Cheddar,src_produtos/images/cheddar-fatiado-processado-184-fatias-schreiber-227-kg.png
709,"REQUEIJÃO SABOR CHEDDAR SOFFICE 1,2 KG",,Laticínios,Cheddar,src_produtos/images/requeijao-sabor-cheddar-soffice-12-kg.png
710,"REQUEIJÃO SABOR CHEDDAR CORONATA 1,5 KG",,Laticínios,Cheddar,src_produtos/images/requeijao-sabor-cheddar-coronata-15-kg.png
711,"MISTURA DE REQUEIJÃO SABOR CHEDDAR ROSELI 1,2 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-roseli-12-kg.png
712,"CHEDDAR FATIADO PROCESSADO 160 FATIAS POLENGHI 2,27 KG",,Laticínios,Cheddar,src_produtos/images/cheddar-fatiado-processado-160-fatias-polenghi-227-kg.png
713,"MOLHO CHEDDAR POLENGHI 1,5 KG",,Laticínios,Cheddar,src_produtos/images/molho-cheddar-polenghi-15-kg.png
714,"REQUEIJÃO SABOR CHEDDAR CATUPIRY 1,010 KG",,Laticínios,Cheddar,src_produtos/images/requeijao-sabor-cheddar-catupiry-1010-kg.png
715,"MISTURA DE REQUEIJÃO SABOR CHEDDAR PARMATO 1,2 KG",,Laticínios,Cheddar,src_produtos/images/mistura-de-requeijao-sabor-cheddar-parmato-12-kg.png
